INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS34_20230817_210801.wav,10.846,2023-08-17,21:08:01,21,2023-08-17,09:08:01,9,56.08317,8.04182,SM4BAT-FS,S4U17609,2.4.6,NS34,,,,,,,1,,,,,,Zo+8Xqehyi7eLLzhV34dvw==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS35_20230427_033705.wav,15,2023-04-27,03:37:05,3,2023-04-26,15:37:05,15,56.27373,8.03705,SM4BAT-FS,S4U17609,2.4.6,NS35,,,,,,,1,,,,,,vXeNDCTdd/E0pgryH/RLCg==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS35_20230825_210618.wav,13.112,2023-08-25,21:06:18,21,2023-08-25,09:06:18,9,56.27373,8.03705,SM4BAT-FS,S4U17580,2.4.6,NS35,,,,,,,1,,,,,,uWwVzVPNSxNHyOydoFGqGw==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS34_20230417_235429.wav,14.389334,2023-04-17,23:54:29,23,2023-04-17,11:54:29,11,56.08316,8.04181,SM4BAT-FS,S4U17573,2.4.6,NS34,,,,,,,1,,,,,,3xH2HGNx1rxb2gC3tRKzQw==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NYMND-PLTG_20231011_194825.wav,6.884,2023-10-11,19:48:25,19,2023-10-11,07:48:25,7,55.55796,8.08325,SM4BAT-FS,S4U17634,2.4.6,NYMND-PLTG,,,,,,,1,,,,,,fyKJDT7nEFkXG1qsvg8XJg==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS6-C_20230425_052617.wav,13,2023-04-25,05:26:17,5,2023-04-24,17:26:17,17,56.16338,6.84414,SM4BAT-FS,S4U17580,2.4.6,NS6-C,,,,,,,1,,,,,,Gs/bHgv/Aaa/0lvbASErcA==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS6_20230909_001531.wav,11.832,2023-09-09,00:15:31,0,2023-09-08,12:15:31,12,56.16338,6.84413,SM4BAT-FS,S4U17626,2.4.6,NS6,,,,,,,1,,,,,,kGlW0MuhULHNM5UGw0m6PA==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NS6-C_20230414_015632.wav,13,2023-04-14,01:56:32,1,2023-04-13,13:56:32,13,56.16338,6.84414,SM4BAT-FS,S4U17580,2.4.6,NS6-C,,,,,,,1,,,,,,CCo5+OmVPSS/5nVfnPp1Jg==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NYMND-PLTG_20240322_051329.wav,6.498667,2024-03-22,05:13:29,5,2024-03-21,17:13:29,17,55.55796,8.08325,SM4BAT-FS,S4U17634,2.4.8,NYMND-PLTG,,,,,,,1,,,,,,hKg+R7JDxtvh7L6twu3MNg==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NYMND-PLTG_20241009_221309.wav,9.081333,2024-10-09,22:13:09,22,2024-10-09,10:13:09,10,55.55796,8.08325,SM4BAT-FS,S4U17634,2.4.8,NYMND-PLTG,,,,,,,1,,,,,,h3eOCcMqY7H6T+QTwZiQ/g==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NYMND-PLTG_20241010_045358.wav,9.196,2024-10-10,04:53:58,4,2024-10-09,16:53:58,16,55.55796,8.08325,SM4BAT-FS,S4U17634,2.4.8,NYMND-PLTG,,,,,,,1,,,,,,+cwAY0z2l3ZM4d/R5PbiSQ==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NYMND-PLTG_20241023_040457.wav,7.528,2024-10-23,04:04:57,4,2024-10-22,16:04:57,16,55.55796,8.08325,SM4BAT-FS,S4U17634,2.4.8,NYMND-PLTG,,,,,,,1,,,,,,KyV5FEdgWeq8BXDu/ZC7zA==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NYMND-PLTG_20241023_014715.wav,7.506667,2024-10-23,01:47:15,1,2024-10-22,13:47:15,13,55.55796,8.08325,SM4BAT-FS,S4U17634,2.4.8,NYMND-PLTG,,,,,,,1,,,,,,jJFWIGn6AOAsoc+YfoR5+Q==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,NYMND-PLTG_20241023_170621.wav,10.274667,2024-10-23,17:06:21,17,2024-10-23,05:06:21,5,55.55796,8.08325,SM4BAT-FS,S4U17634,2.4.8,NYMND-PLTG,,,,,,,1,,,,,,QDQ0pFnw7Sm9taRAvBntFg==
C:\Offline\aspot_bats\validation_kaleidoscope\denmark\denmark,,REJSBY_20231105_173556.wav,5.04,2023-11-05,17:35:56,17,2023-11-05,05:35:56,5,55.55796,8.08325,SM4BAT-FS,S4U17623,2.4.6,REJSBY,,,,,,,1,,,,,,QW+APLMOqhYXftAdsoR+WA==
